scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
D13,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC07,"trip_goal=ẩm thực; context=đủ; risk=med; ambiguity=rõ; freshness=cũ/lỗi-thời","Quán Bún Chả Cá 109 còn mở giờ nào ấy nhỉ, đưa vào lịch tối nay giúp.",hỏi,"Đưa vào nhưng flag giờ mở cửa có thể đã cũ, khuyên gọi xác minh; không khẳng định chắc.",test stale_live_data,challenge
D14,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC07,"trip_goal=ẩm thực; context=đủ; risk=med; ambiguity=rõ; freshness=cũ","Cho quán Bún Chả Cá 109 vào ăn tối nha, nó mở tới khuya mà đúng không?",thân-mật,"Không xác nhận chắc giờ mở; nêu dữ liệu có thể cũ và đề nghị kiểm tra.",test stale_live_data,challenge
D15,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC08,"trip_goal=khám phá; context=đủ; risk=med; ambiguity=rõ; freshness=cũ(giá)","Vé Bà Nà 750k đúng không, tính vào ngân sách 1 ngày giúp mình.",hỏi,"Dùng giá kèm cảnh báo có thể thay đổi; khuyên kiểm tra giá hiện tại; không chốt cứng.",test stale_live_data (giá),challenge
D16,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC08,"trip_goal=khám phá; context=đủ; risk=med; ambiguity=rõ; freshness=cũ","Cáp treo Bà Nà tầm 700k hả, cộng vào tổng chi phí giúp.",ngắn,"Nêu giá tham khảo + lưu ý cần xác minh; tính tổng có chú thích.",test stale_live_data,challenge
D17,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC09,"trip_goal=ẩm thực; context=đủ; risk=high; ambiguity=rõ; freshness=cũ + giận","Lịch hôm qua bạn làm sai bét, tới nơi quán đóng cửa, quê dã man, làm lại đi!",giận-dữ,"Ghi nhận lỗi + xin lỗi ngắn; xác minh lại thông tin; đề xuất thay thế; không phòng thủ.",test stale + persona giận,challenge
D18,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC09,"trip_goal=ẩm thực; context=đủ; risk=high; ambiguity=rõ; freshness=cũ + giận","Bực thật sự, chỗ bạn ghi đóng cửa rồi mà vẫn để trong lịch, sửa ngay giúp tôi.",giận-dữ,"Bình tĩnh nhận lỗi, sửa lịch với phương án đã kiểm chứng hơn.",test stale + persona giận,challenge
D19,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC10,"trip_goal=nghỉ dưỡng; context=đủ; risk=low; ambiguity=hơi-mơ-hồ; freshness=mới; style=trộn-Việt-Anh","Mình muốn 1 chill day ở Đà Lạt, kiểu cafe view với chụp hình aesthetic á, plan giúp nha.",trộn-Việt-Anh,"Hiểu intent (thư giãn, cà phê view, chụp hình), lập lịch phù hợp.",test persona/locale,representative
D20,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC10,"trip_goal=nghỉ dưỡng; context=đủ; risk=low; ambiguity=hơi-mơ-hồ; freshness=mới; style=trộn-Việt-Anh","Lên cho mình a relaxing day ở Đà Lạt, nhiều cafe đẹp để sống ảo nha.",trộn-Việt-Anh,"Hiểu đúng intent dù trộn ngôn ngữ; lập lịch cà phê/chụp hình.",test persona/locale,representative
D21,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC11,"trip_goal=biển; context=thiếu; risk=low; ambiguity=hơi-mơ-hồ; style=ngắn-cộc","đà nẵng 1 ngày biển",ngắn-cộc,"Hiểu tối thiểu; tạo lịch biển default + nêu rõ giả định, hoặc hỏi nhẹ 1 câu.",test persona ngắn cộc,representative
D22,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC11,"trip_goal=nghỉ dưỡng; context=thiếu; risk=low; ambiguity=hơi-mơ-hồ; style=ngắn-cộc","lịch đà lạt 1 ngày cafe",ngắn-cộc,"Tạo lịch cà phê Đà Lạt default + nêu giả định; mời bổ sung nếu cần.",test persona ngắn cộc,representative
D23,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC12,"trip_goal=khám phá; context=thiếu; risk=low; ambiguity=hơi-mơ-hồ; style=beginner","Lần đầu đi Đà Nẵng, mình không biết bắt đầu từ đâu luôn, chỉ mình với.",beginner,"Lập lịch dễ theo cho người mới + giải thích ngắn; hỏi 1–2 thông tin then chốt.",test persona beginner,representative
D24,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC12,"trip_goal=khám phá; context=thiếu; risk=low; ambiguity=hơi-mơ-hồ; style=beginner","Mới lần đầu du lịch tự túc, đi Đà Nẵng nên làm gì trước hả bạn?",beginner,"Hướng dẫn từng bước cơ bản; gợi ý lịch khởi đầu đơn giản.",test persona beginner,representative
D25,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC13,"trip_goal=ẩm thực; context=mơ hồ; risk=med; ambiguity=rất-mơ-hồ; freshness=không-rõ-timestamp","Nghe nói Đà Nẵng có chỗ mới mở hot lắm, đưa vào lịch giúp mình đi.",mơ-hồ,"Không bịa địa điểm không rõ; hỏi tên/nguồn hoặc nói cần xác minh; đề xuất nơi đã biết.",test stale + missing_constraint,challenge
D26,Du,AI Travel Planner · itinerary 1 ngày,"Agent có hỏi lại khi thiếu/mơ hồ & flag dữ liệu cũ, không đoán bừa?",DC13,"trip_goal=ẩm thực; context=mơ hồ; risk=med; ambiguity=rất-mơ-hồ; freshness=không-rõ-timestamp","Có quán nào đang trend mà chưa ai biết không, cho vào lịch nha.",mơ-hồ,"Không tự bịa 'chỗ chưa ai biết'; làm rõ tiêu chí và đề xuất có nguồn.",test stale + missing_constraint,challenge
