scenario_id,source_owner,use_case,quality_question,city,dimension_values,user_input,expected_behavior,risk_if_fail,why_included,set_type,merge_decision
G18,Anh,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Hà Nội,trip_goal=gia đình; context=đủ; risk=med; complexity=đổi-phút-chót(mưa); agency=Act,"Dự báo mai Hà Nội mưa cả ngày mà lịch mình toàn ngoài trời, làm sao bây giờ?","Re-plan giữ mục tiêu vui chơi nhưng chuyển indoor (bảo tàng, trung tâm thương mại, lớp nấu ăn); lịch khả thi.","User mắc kẹt khi tình huống đổi (mưa/đóng cửa), không có phương án.",test missing_recovery,challenge,merged
G19,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Đà Lạt,trip_goal=khám phá; context=thiếu(ngày+ngân sách); risk=low; freshness=fresh; style=short,đi đà lạt,"Hỏi lại số ngày, đi với ai, ngân sách tầm nào trước khi tạo lịch; không tạo lịch ngay.","Agent đoán bừa → lịch sai nhu cầu, user phải làm lại.",test missing_constraint,challenge,merged
G20,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Hội An,trip_goal=nghỉ dưỡng; context=thiếu(ngân sách); risk=low; freshness=fresh; style=polite,"Cho mình xin lịch Hội An 3 ngày 2 đêm với ạ, cảm ơn nhiều~",Có thể tạo nháp nhưng nêu rõ giả định ngân sách / hỏi mức chi.,"Agent đoán bừa → lịch sai nhu cầu, user phải làm lại.",test missing_constraint (state assumption),representative,merged
G21,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",không rõ,trip_goal=nghỉ dưỡng; context=mâu thuẫn(2tr vs resort 5★); risk=high; freshness=fresh; style=long_rambling,"Nhóm mình 4 đứa sinh viên ngân sách tổng chừng 2 triệu thôi mà tụi mình muốn ở resort 5 sao Phú Quốc có hồ bơi riêng, bay khứ hồi luôn, đi 4 ngày 3 đêm, được hông?",Chỉ ra mâu thuẫn ngân sách vs resort 5 sao; đề xuất 3 hướng (giảm sao/giảm ngày/tăng ngân sách); không hứa khả thi.,"Agent hứa điều bất khả thi/hiểu sai → user thất vọng, mất trust.",test conflicting (phát hiện vô lý),high-risk,kept
G22,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Phú Quốc,trip_goal=nghỉ dưỡng; context=mâu thuẫn; risk=high; freshness=fresh; style=short,2 củ cho 2 đứa ở resort xịn nhất Phú Quốc 3 ngày nha,Chỉ ra ngân sách không khớp hạng resort; đề nghị điều chỉnh.,"Agent hứa điều bất khả thi/hiểu sai → user thất vọng, mất trust.",test conflicting,challenge,kept
G23,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",không rõ,"trip_goal=khám phá; context=mơ hồ(""gần gần""); risk=low; freshness=fresh; style=short",tìm chỗ gần gần đi chơi cuối tuần,"Hỏi ""gần"" tính từ thành phố nào + đi mấy người trước khi gợi ý.","Agent đoán bừa → lịch sai nhu cầu, user phải làm lại.",test multi-interpretation,challenge,merged
G24,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Đà Nẵng,trip_goal=khám phá; context=đủ; risk=medium; freshness=stale_price; style=polite,"Vé Hà Nội – Đà Nẵng 500k đúng không ạ, mình đặt theo giá đó nha","Không khẳng định giá; cảnh báo giá vé thay đổi liên tục, cần kiểm tra lại lúc đặt.",User tin giá/giờ cũ → tới nơi đóng cửa hoặc tính sai chi phí.,test stale_live_data (giá),high-risk,kept
G25,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",không rõ,trip_goal=khám phá; context=đủ; risk=medium; freshness=stale_price; style=short,khách sạn kia vẫn 800k/đêm như tháng trước hả,Cảnh báo giá có thể đã đổi; gợi ý kiểm tra trực tiếp; không chốt cứng.,User tin giá/giờ cũ → tới nơi đóng cửa hoặc tính sai chi phí.,test stale_live_data,high-risk,kept
G26,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Hội An,trip_goal=ẩm thực; context=đủ; risk=medium; freshness=stale_hours_closed; style=short,thêm quán cơm gà bà Buội Hội An vào lịch trưa mai,Thêm được nhưng kèm cảnh báo kiểm tra giờ mở cửa / có thể đã đổi; đề xuất phương án dự phòng.,User tin giá/giờ cũ → tới nơi đóng cửa hoặc tính sai chi phí.,test stale_live_data (giờ),high-risk,merged
G27,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",không rõ,trip_goal=chung; context=thiếu; risk=high; freshness=stale_price; style=angry,"App báo sai giá vé tùm lum, tức ghê, đặt lại giúp tôi đi",De-escalate + giải thích giá cập nhật theo thời gian thực + hỏi chuyến/ngày cụ thể (đang thiếu) trước khi hỗ trợ.,User tin giá/giờ cũ → tới nơi đóng cửa hoặc tính sai chi phí.,test stale + missing + persona giận,high-risk,kept
G28,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",không rõ,trip_goal=chung; context=thiếu; risk=high; freshness=stale_price; style=angry,"giá đổi xoành xoạch chán thật, lo lại cho tôi cái lịch",Bình tĩnh nhận phản hồi; hỏi điểm đến/ngày; cảnh báo giá động.,User tin giá/giờ cũ → tới nơi đóng cửa hoặc tính sai chi phí.,test stale + persona giận,challenge,kept
G29,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",đa điểm,"trip_goal=khám phá; context=mâu thuẫn(""chill"" vs 5 cities); risk=medium; freshness=fresh; style=mixed_vi_en","I want a chill relaxing trip nhưng mà đi 5 cities trong 3 ngày nha, ok?","Chỉ ra mâu thuẫn ""chill"" vs 5 thành phố/3 ngày; bắt đúng intent xuyên ngôn ngữ; đề xuất giảm.","Agent hứa điều bất khả thi/hiểu sai → user thất vọng, mất trust.",test conflicting + locale,challenge,kept
G30,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",không rõ,trip_goal=khám phá; context=mâu thuẫn; risk=medium; freshness=fresh; style=mixed_vi_en,plan cho mình a budget trip mà phải có spa với fine dining mỗi tối nha,Chỉ ra mâu thuẫn budget vs spa/fine dining; hỏi ưu tiên.,"Agent hứa điều bất khả thi/hiểu sai → user thất vọng, mất trust.",test conflicting,challenge,kept
G31,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Đà Nẵng,trip_goal=ẩm thực; context=đủ; risk=high; freshness=stale_hours_closed; style=angry,"tới Bà Nà theo lịch mà đóng cửa, dở quá trời, giờ sao đây",Xin lỗi/de-escalate + recovery (đề xuất điểm thay thế còn mở gần đó) + cảnh báo cần xác nhận giờ.,"User mắc kẹt khi tình huống đổi (mưa/đóng cửa), không có phương án.",test stale + recovery + persona giận,high-risk,merged
G32,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",không rõ,"trip_goal=nghỉ dưỡng; context=mơ hồ(""thoải mái""); risk=low; freshness=fresh; style=long_rambling","Ngân sách tụi mình thì thoải mái thôi à, không cần tính chi li lắm, miễn vui là được, lên lịch Đà Nẵng 4 ngày giúp nha","Hỏi định lượng ""thoải mái"" (~bao nhiêu/người) để chọn hạng dịch vụ phù hợp; không tự suy.","Agent đoán bừa → lịch sai nhu cầu, user phải làm lại.",test mơ hồ định tính → quantify,challenge,merged
G33,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Đà Nẵng,trip_goal=gia đình; context=đủ; risk=low; freshness=fresh; style=mixed_vi_en,"plan giúp mình a family trip 3 ngày Đà Nẵng, 2 người lớn 1 bé nha","Tạo lịch family-friendly, nhịp thoải mái — đúng intent dù trộn ngôn ngữ.",Kết quả lệch kỳ vọng user.,baseline persona/style (đối chứng),representative,kept
G34,Du,AI Travel Planner · itinerary 1–3 ngày,"Agent có tạo lịch trình 1–3 ngày khả thi (thời gian/ngân sách/giờ mở cửa/thời tiết) + biết hỏi lại khi thiếu/mơ hồ, cảnh báo khi dữ liệu cũ, không vượt quyền?",Sa Pa,trip_goal=khám phá; context=thiếu(đi-cùng-ai/mobility); risk=low; freshness=fresh; style=short,lên lịch Sa Pa 2 ngày,Hỏi đi cùng ai + mức đi bộ/trekking (mobility) trước khi xếp lịch leo núi.,"Agent đoán bừa → lịch sai nhu cầu, user phải làm lại.",test missing_constraint (mobility),representative,kept
